DATE,CPI,UNRATE,FEDFUNDS,REALRATE,LFPART
1970-01-01,37.9,3.9,9.0,,60.4
1970-02-01,38.1,4.2,9.0,,60.4
1970-03-01,38.3,4.4,7.8,,60.6
1970-04-01,38.5,4.6,8.1,,60.6
1970-05-01,38.6,4.8,8.0,,60.3
1970-06-01,38.8,4.9,7.6,,60.2
1970-07-01,38.9,5.0,7.2,,60.4
1970-08-01,39.0,5.1,6.6,,60.3
1970-09-01,39.2,5.4,6.3,,60.2
1970-10-01,39.4,5.5,6.2,,60.4
1970-11-01,39.6,5.9,5.6,,60.4
1970-12-01,39.8,6.1,4.9,,60.4
1971-01-01,39.9,5.9,4.1,,60.4
1971-02-01,39.9,5.9,3.7,,60.1
1971-03-01,40.0,6.0,3.7,,60.0
1971-04-01,40.1,5.9,4.2,,60.1
1971-05-01,40.3,5.9,4.6,,60.2
1971-06-01,40.5,5.9,4.9,,59.8
1971-07-01,40.6,6.0,5.3,,60.1
1971-08-01,40.7,6.1,5.6,,60.2
1971-09-01,40.8,6.0,5.6,,60.1
1971-10-01,40.9,5.8,5.2,,60.1
1971-11-01,41.0,6.0,4.9,,60.4
1971-12-01,41.1,6.0,4.1,,60.4
1972-01-01,41.2,5.8,3.5,,60.2
1972-02-01,41.4,5.7,3.3,,60.2
1972-03-01,41.4,5.8,3.8,,60.5
1972-04-01,41.5,5.7,4.2,,60.4
1972-05-01,41.6,5.7,4.3,,60.4
1972-06-01,41.7,5.7,4.5,,60.4
1972-07-01,41.8,5.6,4.6,,60.4
1972-08-01,41.9,5.6,4.8,,60.6
1972-09-01,42.1,5.5,4.9,,60.4
1972-10-01,42.2,5.6,5.0,,60.3
1972-11-01,42.4,5.3,5.1,,60.3
1972-12-01,42.5,5.2,5.3,,60.5
1973-01-01,42.7,4.9,5.9,,60.0
1973-02-01,43.0,5.0,6.6,,60.5
1973-03-01,43.4,4.9,7.1,,60.8
1973-04-01,43.7,5.0,7.1,,60.8
1973-05-01,43.9,4.9,7.8,,60.6
1973-06-01,44.2,4.9,8.5,,60.9
