DATE,CPI,UNRATE,FEDFUNDS,REALRATE,LFPART
2000-01-01,169.3,4.0,5.4,2.7,67.3
2000-02-01,170.0,4.1,5.7,2.6,67.3
2000-03-01,171.0,4.0,5.8,2.7,67.3
2000-04-01,170.9,3.8,6.0,2.9,67.3
2000-05-01,171.2,4.0,6.3,2.8,67.1
2000-06-01,172.2,4.0,6.5,2.0,67.1
2000-07-01,172.7,4.0,6.5,3.4,66.9
2000-08-01,172.7,4.1,6.5,3.2,66.9
2000-09-01,173.6,3.9,6.5,3.0,66.9
2000-10-01,173.9,3.9,6.5,3.0,66.8
2000-11-01,174.2,3.9,6.5,2.8,66.9
2000-12-01,174.6,3.9,6.4,2.3,67.0
2001-01-01,175.6,4.2,6.0,3.1,67.2
2001-02-01,176.0,4.2,5.5,2.8,67.1
2001-03-01,176.1,4.3,5.3,3.6,67.2
2001-04-01,176.4,4.4,4.8,2.4,66.9
2001-05-01,177.3,4.3,4.2,1.9,66.7
2001-06-01,177.7,4.5,4.0,1.4,66.7
2001-07-01,177.4,4.6,3.8,1.7,66.8
2001-08-01,177.4,4.9,3.6,1.6,66.5
2001-09-01,178.1,5.0,3.1,0.3,66.8
2001-10-01,177.6,5.3,2.5,1.0,66.7
2001-11-01,177.5,5.5,2.1,1.1,66.7
2001-12-01,177.4,5.7,1.8,-0.2,66.7
2002-01-01,177.7,5.7,1.7,0.8,66.5
2002-02-01,178.0,5.7,1.7,0.9,66.8
2002-03-01,178.5,5.7,1.7,1.1,66.6
2002-04-01,179.3,5.9,1.8,0.5,66.7
2002-05-01,179.5,5.8,1.8,0.1,66.7
2002-06-01,179.6,5.8,1.8,0.4,66.6
2002-07-01,180.0,5.8,1.7,0.3,66.5
2002-08-01,180.5,5.7,1.7,0.2,66.6
2002-09-01,180.8,5.7,1.8,-0.0,66.7
2002-10-01,181.2,5.7,1.8,-0.2,66.6
2002-11-01,181.5,5.9,1.3,-0.3,66.4
2002-12-01,181.8,6.0,1.2,-0.1,66.3
2003-01-01,182.6,5.8,1.2,-0.2,66.4
2003-02-01,183.6,5.9,1.3,-0.2,66.4
2003-03-01,183.9,5.9,1.2,-0.2,66.3
2003-04-01,183.2,6.0,1.3,-0.1,66.4
2003-05-01,182.9,6.1,1.3,0.1,66.4
2003-06-01,183.1,6.3,1.2,-1.2,66.5
2003-07-01,183.7,6.2,1.0,-0.1,66.2
2003-08-01,184.5,6.1,1.0,0.1,66.1
2003-09-01,185.1,6.1,1.0,0.1,66.1
2003-10-01,184.9,6.0,1.0,-0.2,66.1
2003-11-01,185.0,5.8,1.0,-0.2,66.1
2003-12-01,185.5,5.7,1.0,-0.6,65.9
2004-01-01,186.3,5.7,1.0,-0.1,66.1
2004-02-01,186.7,5.6,1.0,-0.4,66.0
2004-03-01,187.1,5.8,1.0,-0.1,66.0
2004-04-01,187.4,5.6,1.0,-0.4,65.9
2004-05-01,188.2,5.6,1.0,-0.5,66.0
2004-06-01,188.9,5.6,1.0,-1.0,66.1
2004-07-01,189.1,5.5,1.3,-0.4,66.1
2004-08-01,189.2,5.4,1.4,-0.5,66.0
2004-09-01,189.8,5.4,1.6,-1.3,65.8
2004-10-01,190.8,5.5,1.8,-0.2,65.9
2004-11-01,191.7,5.4,1.9,-0.0,66.0
2004-12-01,191.7,5.4,2.2,1.2,65.9
2005-01-01,191.6,5.3,2.3,0.3,65.8
2005-02-01,192.4,5.4,2.5,0.5,65.9
2005-03-01,193.1,5.2,2.6,0.6,65.9
2005-04-01,193.7,5.2,2.8,0.5,66.1
2005-05-01,193.6,5.1,3.0,0.7,66.1
2005-06-01,193.7,5.0,3.0,0.8,66.1
2005-07-01,194.9,5.0,3.3,1.1,66.1
2005-08-01,196.1,4.9,3.5,1.3,66.2
2005-09-01,198.8,5.0,3.6,2.0,66.1
2005-10-01,199.1,5.0,3.8,1.2,66.1
2005-11-01,198.1,5.0,4.0,1.3,66.0
2005-12-01,198.1,4.9,4.2,0.9,66.0
2006-01-01,199.3,4.7,4.3,2.0,66.0
2006-02-01,199.4,4.8,4.5,2.1,66.1
2006-03-01,199.7,4.7,4.6,3.2,66.2
2006-04-01,200.7,4.7,4.8,2.1,66.1
2006-05-01,201.3,4.6,4.9,2.3,66.1
2006-06-01,201.8,4.6,5.0,2.4,66.2
2006-07-01,202.9,4.7,5.2,2.2,66.1
2006-08-01,203.8,4.7,5.2,2.2,66.2
2006-09-01,202.8,4.5,5.2,2.8,66.1
2006-10-01,201.9,4.4,5.2,2.8,66.2
2006-11-01,202.0,4.5,5.2,3.4,66.3
2006-12-01,203.1,4.4,5.2,3.4,66.4
2007-01-01,203.4,4.6,5.2,2.3,66.4
2007-02-01,204.2,4.5,5.3,2.5,66.3
2007-03-01,205.3,4.4,5.3,2.1,66.2
2007-04-01,205.9,4.5,5.2,2.1,65.9
2007-05-01,206.8,4.4,5.2,1.5,66.0
2007-06-01,207.2,4.6,5.2,1.1,66.0
2007-07-01,207.6,4.7,5.3,1.9,66.0
2007-08-01,207.7,4.6,5.0,2.1,65.8
2007-09-01,208.5,4.7,4.9,1.8,66.0
2007-10-01,209.2,4.7,4.8,1.7,65.8
2007-11-01,210.8,4.7,4.5,2.2,66.0
2007-12-01,211.4,5.0,4.2,1.5,66.0
2008-01-01,212.2,5.0,3.9,1.1,66.2
2008-02-01,212.7,4.9,3.0,0.3,66.0
2008-03-01,213.4,5.1,2.6,0.6,66.1
2008-04-01,213.9,5.0,2.3,0.1,65.9
2008-05-01,215.2,5.4,2.0,-0.4,66.1
2008-06-01,217.5,5.6,2.0,-0.4,66.1
2008-07-01,219.0,5.8,2.0,-0.8,66.1
2008-08-01,218.7,6.1,2.0,-1.5,66.1
2008-09-01,218.9,6.1,1.8,-1.0,66.0
2008-10-01,217.0,6.5,1.0,1.2,66.0
2008-11-01,213.2,6.8,0.4,2.8,65.9
2008-12-01,211.4,7.3,0.2,2.5,65.8
2009-01-01,211.9,7.8,0.2,2.0,65.7
2009-02-01,212.7,8.3,0.2,2.1,65.8
2009-03-01,212.5,8.7,0.2,3.2,65.6
2009-04-01,212.7,9.0,0.2,0.1,65.7
2009-05-01,213.0,9.4,0.2,0.1,65.7
2009-06-01,214.8,9.5,0.2,0.5,65.7
2009-07-01,214.7,9.5,0.2,-0.1,65.5
2009-08-01,215.4,9.6,0.2,-1.0,65.4
2009-09-01,215.9,9.8,0.2,-1.9,65.1
2009-10-01,216.5,10.0,0.1,-0.8,65.0
2009-11-01,217.2,9.9,0.1,-1.0,65.0
2009-12-01,217.3,9.9,0.1,-1.2,64.6
