DATE,CPI,UNRATE,FEDFUNDS,REALRATE,LFPART
1980-01-01,78.0,6.3,13.8,,64.0
1980-02-01,79.0,6.3,14.1,,64.0
1980-03-01,80.1,6.3,17.2,,63.7
1980-04-01,80.9,6.9,17.6,,63.8
1980-05-01,81.7,7.5,11.0,,63.9
1980-06-01,82.5,7.6,9.5,,63.7
1980-07-01,82.6,7.8,9.0,,63.8
1980-08-01,83.2,7.7,9.6,,63.7
1980-09-01,83.9,7.5,10.9,,63.6
1980-10-01,84.7,7.5,12.8,,63.7
1980-11-01,85.6,7.5,15.8,,63.8
1980-12-01,86.4,7.2,18.9,,63.6
1981-01-01,87.2,7.5,19.1,,63.9
1981-02-01,88.0,7.4,15.9,,63.9
1981-03-01,88.6,7.4,14.7,,64.1
1981-04-01,89.1,7.2,15.7,,64.2
1981-05-01,89.7,7.5,18.5,,64.3
1981-06-01,90.5,7.5,19.1,,63.7
1981-07-01,91.5,7.2,19.0,,63.8
1981-08-01,92.2,7.4,17.8,,63.8
1981-09-01,93.1,7.6,15.9,,63.5
1981-10-01,93.4,7.9,15.1,,63.8
1981-11-01,93.8,8.3,13.3,,63.9
1981-12-01,94.1,8.5,12.4,,63.6
1982-01-01,94.4,8.6,13.2,4.3,63.7
1982-02-01,94.7,8.9,14.8,6.7,63.8
1982-03-01,94.7,9.0,14.7,7.7,63.8
1982-04-01,95.0,9.3,14.9,8.2,63.9
1982-05-01,95.9,9.4,14.4,8.3,64.2
1982-06-01,97.0,9.6,14.2,9.3,63.9
1982-07-01,97.5,9.8,12.6,7.5,64.0
1982-08-01,97.7,9.8,10.1,5.7,64.1
1982-09-01,97.7,10.1,10.3,3.3,64.1
1982-10-01,98.1,10.4,9.7,4.6,64.1
1982-11-01,98.0,10.8,9.2,5.8,64.2
1982-12-01,97.7,10.8,9.0,5.3,64.1
1983-01-01,97.9,10.4,8.7,4.7,63.9
1983-02-01,98.0,10.4,8.5,4.9,63.8
1983-03-01,98.1,10.3,8.8,5.3,63.7
1983-04-01,98.8,10.2,8.8,5.1,63.8
1983-05-01,99.2,10.1,8.6,5.3,63.7
1983-06-01,99.4,10.1,9.0,6.0,64.3
1983-07-01,99.8,9.4,9.4,4.7,64.1
1983-08-01,100.1,9.5,9.6,5.7,64.3
1983-09-01,100.4,9.2,9.4,5.5,64.3
1983-10-01,100.8,8.8,9.5,4.9,64.0
1983-11-01,101.1,8.5,9.3,4.6,64.1
1983-12-01,101.4,8.3,9.5,4.5,64.1
1984-01-01,102.1,8.0,9.6,5.4,63.9
1984-02-01,102.6,7.8,9.6,5.2,64.1
1984-03-01,102.9,7.8,9.9,5.6,64.1
1984-04-01,103.3,7.7,10.3,5.4,64.3
1984-05-01,103.5,7.4,10.3,5.4,64.5
1984-06-01,103.7,7.2,11.1,5.4,64.6
1984-07-01,104.1,7.5,11.2,6.3,64.6
1984-08-01,104.4,7.5,11.6,6.1,64.4
1984-09-01,104.7,7.3,11.3,6.4,64.4
1984-10-01,105.1,7.4,10.0,6.9,64.4
1984-11-01,105.3,7.2,9.4,6.4,64.5
1984-12-01,105.5,7.3,8.4,5.8,64.6
1985-01-01,105.7,7.3,8.4,5.1,64.7
1985-02-01,106.3,7.2,8.5,4.8,64.7
1985-03-01,106.8,7.2,8.6,4.5,64.9
1985-04-01,107.0,7.3,8.3,5.7,64.9
1985-05-01,107.2,7.2,8.0,5.0,64.8
1985-06-01,107.5,7.4,7.5,3.5,64.6
1985-07-01,107.7,7.4,7.9,4.5,64.7
1985-08-01,107.9,7.1,7.9,4.3,64.6
1985-09-01,108.1,7.1,7.9,4.1,64.9
1985-10-01,108.5,7.1,8.0,4.1,65.0
1985-11-01,109.0,7.0,8.0,4.2,64.9
1985-12-01,109.5,7.0,8.3,4.5,65.0
1986-01-01,109.9,6.7,8.1,4.3,64.9
1986-02-01,109.7,7.2,7.9,4.5,65.0
1986-03-01,109.1,7.2,7.5,5.3,65.1
1986-04-01,108.7,7.1,7.0,5.1,65.1
1986-05-01,109.0,7.2,6.8,5.0,65.2
1986-06-01,109.4,7.2,6.9,4.5,65.4
1986-07-01,109.5,7.0,6.6,3.5,65.4
1986-08-01,109.6,6.9,6.2,3.4,65.3
1986-09-01,110.0,7.0,5.9,3.0,65.4
1986-10-01,110.2,7.0,5.8,2.8,65.4
1986-11-01,110.4,6.9,6.0,2.7,65.4
1986-12-01,110.8,6.6,6.9,2.4,65.3
1987-01-01,111.4,6.6,6.4,2.5,65.4
1987-02-01,111.8,6.6,6.1,2.3,65.5
1987-03-01,112.2,6.6,6.1,3.3,65.5
1987-04-01,112.7,6.3,6.4,2.5,65.4
1987-05-01,113.0,6.3,6.8,2.1,65.7
1987-06-01,113.5,6.2,6.7,2.9,65.5
1987-07-01,113.8,6.1,6.6,2.3,65.6
1987-08-01,114.3,6.0,6.7,2.6,65.7
1987-09-01,114.7,5.9,7.2,2.4,65.5
1987-10-01,115.0,6.0,7.3,3.7,65.7
1987-11-01,115.4,5.8,6.7,3.4,65.7
1987-12-01,115.6,5.7,6.8,2.4,65.7
1988-01-01,116.0,5.7,6.8,2.5,65.8
1988-02-01,116.2,5.7,6.6,2.9,65.9
1988-03-01,116.5,5.7,6.6,2.7,65.7
1988-04-01,117.2,5.4,6.9,2.8,65.8
1988-05-01,117.5,5.6,7.1,2.9,65.7
1988-06-01,118.0,5.4,7.5,3.1,65.8
1988-07-01,118.5,5.4,7.8,2.5,65.9
1988-08-01,119.0,5.6,8.0,3.2,66.1
1988-09-01,119.5,5.4,8.2,3.4,65.9
1988-10-01,119.9,5.4,8.3,3.1,66.0
1988-11-01,120.3,5.3,8.4,3.0,66.2
1988-12-01,120.7,5.3,8.8,3.3,66.1
1989-01-01,121.2,5.4,9.1,3.3,66.5
1989-02-01,121.6,5.2,9.4,3.4,66.3
1989-03-01,122.2,5.0,9.8,3.5,66.3
1989-04-01,123.1,5.2,9.8,4.1,66.4
1989-05-01,123.7,5.2,9.8,4.5,66.3
1989-06-01,124.1,5.3,9.5,4.5,66.5
1989-07-01,124.5,5.2,9.2,3.9,66.5
1989-08-01,124.5,5.2,9.0,3.7,66.5
1989-09-01,124.8,5.3,9.0,4.0,66.4
1989-10-01,125.4,5.3,8.8,3.9,66.5
1989-11-01,125.9,5.4,8.6,3.9,66.6
1989-12-01,126.3,5.4,8.4,3.9,66.5
