DATE,CPI,UNRATE,FEDFUNDS,REALRATE,LFPART
1950-01-01,23.5,6.5,,,58.9
1950-02-01,23.6,6.4,,,58.9
1950-03-01,23.6,6.3,,,58.8
1950-04-01,23.6,5.8,,,59.2
1950-05-01,23.8,5.5,,,59.1
1950-06-01,23.9,5.4,,,59.4
1950-07-01,24.1,5.0,,,59.1
1950-08-01,24.2,4.5,,,59.5
1950-09-01,24.3,4.4,,,59.2
1950-10-01,24.5,4.2,,,59.4
1950-11-01,24.6,4.2,,,59.3
1950-12-01,25.0,4.3,,,59.2
1951-01-01,25.4,3.7,,,59.1
1951-02-01,25.8,3.4,,,59.1
1951-03-01,25.9,3.4,,,59.8
1951-04-01,25.9,3.1,,,59.1
1951-05-01,26.0,3.0,,,59.4
1951-06-01,25.9,3.2,,,59.0
1951-07-01,25.9,3.1,,,59.4
1951-08-01,25.9,3.1,,,59.2
1951-09-01,26.0,3.3,,,59.1
1951-10-01,26.2,3.5,,,59.4
1951-11-01,26.3,3.5,,,59.2
1951-12-01,26.5,3.1,,,59.6
1952-01-01,26.4,3.2,,,59.5
1952-02-01,26.4,3.1,,,59.5
1952-03-01,26.4,2.9,,,58.9
1952-04-01,26.5,2.9,,,58.8
1952-05-01,26.5,3.0,,,59.1
1952-06-01,26.5,3.0,,,59.1
1952-07-01,26.7,3.2,,,58.9
1952-08-01,26.7,3.4,,,58.7
1952-09-01,26.6,3.1,,,59.2
1952-10-01,26.7,3.0,,,58.7
1952-11-01,26.7,2.8,,,59.1
1952-12-01,26.7,2.7,,,59.2
1953-01-01,26.6,2.9,,,59.5
1953-02-01,26.6,2.6,,,59.5
1953-03-01,26.6,2.6,,,59.6
1953-04-01,26.7,2.7,,,59.1
1953-05-01,26.7,2.5,,,58.6
1953-06-01,26.8,2.5,,,58.9
1953-07-01,26.8,2.6,,,58.9
1953-08-01,26.8,2.7,,,58.6
1953-09-01,26.9,2.9,,,58.5
1953-10-01,27.0,3.1,,,58.5
1953-11-01,26.8,3.5,,,58.6
1953-12-01,26.9,4.5,,,58.3
1954-01-01,26.9,4.9,,,58.6
1954-02-01,27.0,5.2,,,59.3
1954-03-01,26.9,5.7,,,59.1
1954-04-01,26.9,5.9,,,59.2
1954-05-01,26.9,5.9,,,58.9
1954-06-01,26.9,5.6,,,58.5
1954-07-01,26.9,5.8,0.8,,58.4
1954-08-01,26.8,6.0,1.2,,58.7
1954-09-01,26.8,6.1,1.1,,59.2
1954-10-01,26.7,5.7,0.8,,58.8
1954-11-01,26.8,5.3,0.8,,58.6
1954-12-01,26.8,5.0,1.3,,58.1
1955-01-01,26.8,4.9,1.4,,58.6
1955-02-01,26.8,4.7,1.3,,58.4
1955-03-01,26.8,4.6,1.4,,58.5
1955-04-01,26.8,4.7,1.4,,59.0
1955-05-01,26.8,4.3,1.4,,58.8
1955-06-01,26.7,4.2,1.6,,58.8
1955-07-01,26.8,4.0,1.7,,59.3
1955-08-01,26.7,4.2,2.0,,59.7
1955-09-01,26.8,4.1,2.2,,59.7
1955-10-01,26.8,4.3,2.2,,59.8
1955-11-01,26.9,4.2,2.4,,59.9
1955-12-01,26.9,4.2,2.5,,60.2
1956-01-01,26.8,4.0,2.4,,60.2
1956-02-01,26.9,3.9,2.5,,59.9
1956-03-01,26.9,4.2,2.5,,59.8
1956-04-01,26.9,4.0,2.6,,59.9
1956-05-01,27.0,4.3,2.8,,60.2
1956-06-01,27.2,4.3,2.7,,60.1
1956-07-01,27.3,4.4,2.8,,60.1
1956-08-01,27.3,4.1,2.7,,60.0
1956-09-01,27.4,3.9,3.0,,60.0
1956-10-01,27.5,3.9,3.0,,59.8
1956-11-01,27.5,4.3,2.9,,59.8
1956-12-01,27.6,4.2,2.9,,59.8
1957-01-01,27.7,4.2,2.8,,59.5
1957-02-01,27.8,3.9,3.0,,59.9
1957-03-01,27.9,3.7,3.0,,59.8
1957-04-01,27.9,3.9,3.0,,59.5
1957-05-01,28.0,4.1,3.0,,59.5
1957-06-01,28.1,4.3,3.0,,59.8
1957-07-01,28.2,4.2,3.0,,60.0
1957-08-01,28.3,4.1,3.2,,59.3
1957-09-01,28.3,4.4,3.5,,59.6
1957-10-01,28.3,4.5,3.5,,59.5
1957-11-01,28.4,5.1,3.3,,59.5
1957-12-01,28.5,5.2,3.0,,59.6
1958-01-01,28.6,5.8,2.7,,59.3
1958-02-01,28.7,6.4,1.7,,59.3
1958-03-01,28.9,6.7,1.2,,59.3
1958-04-01,28.9,7.4,1.3,,59.6
1958-05-01,28.9,7.4,0.6,,59.8
1958-06-01,28.9,7.3,0.9,,59.5
1958-07-01,28.9,7.5,0.7,,59.6
1958-08-01,28.9,7.4,1.5,,59.8
1958-09-01,28.9,7.1,1.8,,59.7
1958-10-01,28.9,6.7,1.8,,59.6
1958-11-01,29.0,6.2,2.3,,59.2
1958-12-01,29.0,6.2,2.4,,59.2
1959-01-01,29.0,6.0,2.5,,59.3
1959-02-01,29.0,5.9,2.4,,59.0
1959-03-01,29.0,5.6,2.8,,59.3
1959-04-01,29.0,5.2,3.0,,59.4
1959-05-01,29.0,5.1,2.9,,59.2
1959-06-01,29.1,5.0,3.4,,59.2
1959-07-01,29.2,5.1,3.5,,59.4
1959-08-01,29.2,5.2,3.5,,59.2
1959-09-01,29.2,5.5,3.8,,59.3
1959-10-01,29.4,5.7,4.0,,59.4
1959-11-01,29.4,5.8,4.0,,59.1
1959-12-01,29.4,5.3,4.0,,59.5
